keyword,volume,kd,cpc_usd,comp_density,intent,click_potential,serp_features
compare 2 salaries,390.0,19.0,5.29,0.02,Informational,90.0,"Video, People Also Ask, Related Searches"
day rate salary calculator,390.0,26.0,0.0,0.0,Informational,90.0,Related Searches
pay converter uk,390.0,66.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
uk salary checker,390.0,66.0,1.24,0.02,Informational,90.0,"Video, Related Searches"
27k after tax monthly,390.0,6.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
45k salary after tax,390.0,11.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
how do i calculate my hourly rate from salary,390.0,16.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Discussions And Forums, AI Overview"
contract salary calculator,390.0,16.0,1.52,0.17,Informational,90.0,Related Searches
uk company tax calculator,390.0,14.0,2.07,0.29,Informational,90.0,"Video, FAQ, Related Searches"
calculate salary contractor,390.0,13.0,1.52,0.17,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
take home pay calcualtor,390.0,53.0,0.57,0.0,Informational,90.0,"Related Searches, Video"
salary monthly calculator,390.0,54.0,0.72,0.01,Informational,90.0,"Video, Related Searches"
calculate bonus after tax uk,390.0,40.0,0.96,0.02,Informational,90.0,Related Searches
salarycalc,390.0,77.0,0.71,0.0,Informational,60.0,"Related Searches, Video"
take home pay for 25000,390.0,29.0,0.34,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
25k salary after tax,390.0,12.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
take home pay 30k,390.0,10.0,0.28,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
calculator bonus tax,390.0,40.0,1.3,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
corporate tax calculator,390.0,16.0,3.06,0.19,Informational,90.0,"FAQ, Related Searches, Video, People Also Ask"
calculate bonus take home,390.0,38.0,0.0,0.0,Informational,90.0,"People Also Ask, Related Searches"
salary to net pay calculator,390.0,61.0,0.71,0.0,Informational,90.0,"Related Searches, People Also Ask"
take home pay salary calculator,390.0,58.0,0.57,0.0,Informational,90.0,"Related Searches, Video"
income salary calculator,390.0,41.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
inhand salary calculator uk,390.0,43.0,0.58,0.02,Informational,90.0,"Video, Related Searches"
take home.salary calculator,390.0,63.0,0.53,0.0,Informational,90.0,Related Searches
take home pay 40k,320.0,16.0,0.0,0.0,Informational,20.0,"AI Overview, Site Links, Video, Related Searches"
60k dollars after tax,320.0,0.0,0.0,0.0,,0.0,
working out pro rata salary,320.0,13.0,2.1,0.03,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
car salary sacrifice scheme calculator,320.0,7.0,0.93,0.76,Informational,90.0,"Video, Related Searches, AI Overview"
tax on 40000 salary uk,320.0,29.0,0.56,0.02,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
salary calculator take home pay,320.0,59.0,0.57,0.0,Informational,90.0,Related Searches
salary take home pay calculator,320.0,39.0,0.57,0.0,Informational,90.0,"Video, Related Searches"
online salary calculator,320.0,70.0,0.7,0.04,Informational,90.0,Related Searches
calculator wages,320.0,62.0,1.04,0.03,Informational,75.0,"Video, Related Searches"
calculator for yearly salary,320.0,0.0,0.97,0.01,,0.0,
take home bonus calculator,320.0,40.0,0.0,0.0,Informational,90.0,Related Searches
annual calculator salary,320.0,0.0,0.97,0.01,,0.0,
how much tax on second job,320.0,14.0,0.0,0.01,"Informational, Commercial",20.0,"Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches"
how much tax will i pay on my bonus,320.0,47.0,0.0,0.01,Informational,90.0,"Related Searches, Discussions And Forums, AI Overview, People Also Ask, FAQ"
my take home pay calculator,320.0,69.0,0.61,0.02,Informational,90.0,Related Searches
takehome pay calc,320.0,70.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
calculate salary from take home pay,320.0,63.0,0.57,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
business calculator,320.0,16.0,3.58,0.76,Informational,75.0,"Video, Video Carousel, People Also Ask, Related Searches"
umbrella take home pay calculator,320.0,6.0,0.99,0.22,Informational,90.0,Related Searches
bonus uk tax calculator,320.0,41.0,0.96,0.02,Informational,90.0,Related Searches
uk tax calculator 2026,320.0,0.0,0.82,0.07,,0.0,
salary vs dividend calculator,320.0,7.0,0.0,0.0,Commercial,90.0,"People Also Ask, Related Searches, Video"
ir35 take home calculator,320.0,17.0,0.85,0.27,Informational,20.0,"Site Links, Video, Related Searches"
income tax calculator including dividends,320.0,13.0,1.58,0.02,Commercial,90.0,"Related Searches, Video"
bring home salary calculator,320.0,68.0,0.57,0.0,Informational,90.0,Related Searches
bonus calculator uk after tax,320.0,33.0,0.96,0.02,Informational,20.0,"Site Links, Related Searches, AI Overview"
salary 40k after tax,320.0,11.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay on 40k,320.0,16.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay calculator with bonus,320.0,44.0,0.0,0.0,Informational,90.0,
home take salary calculator,320.0,56.0,0.57,0.0,Informational,90.0,"Related Searches, Video"
take home pay on 45 000,260.0,14.0,0.0,0.33,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
inside ir35 calculator hmrc,260.0,32.0,1.11,0.42,Informational,90.0,"Video, People Also Ask, Related Searches"
contractor tax calculator,260.0,18.0,1.33,0.19,Commercial,90.0,"Video, Related Searches"
80000 take home pay,260.0,9.0,0.37,0.01,Informational,90.0,"Related Searches, AI Overview"
compare wages uk,260.0,37.0,1.52,0.14,Informational,90.0,"Video, Related Searches"
bonus payment tax calculator uk,260.0,37.0,0.96,0.02,Informational,20.0,"Site Links, Related Searches"
salary bonus calculator uk,260.0,42.0,1.12,0.01,Informational,90.0,"Related Searches, People Also Ask"
salary and bonus calculator uk,260.0,45.0,1.12,0.01,Informational,90.0,Related Searches
take home money calculator,260.0,40.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
tax on bonus calculator uk,260.0,42.0,0.96,0.02,Informational,20.0,"Related Searches, Site Links"
hmrc bonus tax calculator,260.0,48.0,1.6,0.03,Informational,20.0,"Site Links, Video, Related Searches"
salary net calculator,260.0,64.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
how much of my bonus will i take home,260.0,45.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches"
dividend vs salary uk calculator,260.0,8.0,0.0,0.02,"Informational, Commercial",90.0,"Video, People Also Ask, Related Searches, AI Overview"
company tax calculator uk,260.0,19.0,2.07,0.29,Informational,90.0,"FAQ, Related Searches, Video"
contractor day rate calculator,260.0,16.0,0.99,0.09,Informational,90.0,Related Searches
tax on 60000 salary uk,260.0,8.0,0.28,0.02,Informational,90.0,"Related Searches, AI Overview, Video"
uk inhand salary calculator,260.0,65.0,0.58,0.02,Informational,90.0,Related Searches
how much will my bonus be taxed,260.0,41.0,0.0,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
take home pay on 26000,260.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
isle of man tax calculator,260.0,14.0,0.0,0.0,Commercial,90.0,"People Also Ask, Related Searches"
take home pay 37000,260.0,20.0,0.0,0.01,Informational,90.0,"AI Overview, Video, Related Searches"
calculator salary uk,260.0,55.0,0.8,0.01,Informational,90.0,Related Searches
one off bonus tax calculator,260.0,41.0,0.88,0.01,Informational,20.0,"Site Links, Related Searches"
bonus calculator uk tax,260.0,32.0,0.96,0.02,Informational,90.0,Related Searches
salary calculator england,260.0,67.0,0.8,0.01,Informational,90.0,Related Searches
salary sacrifice calculator car scheme,260.0,14.0,0.93,0.76,Informational,20.0,"Video, Related Searches, Site Links"
uksalary calculator,260.0,56.0,0.8,0.01,Informational,75.0,Related Searches
salary calculato,260.0,64.0,0.71,0.0,Informational,75.0,"Video, Related Searches"
bonus pay,260.0,53.0,0.0,0.0,Informational,20.0,"Site Links, Video, FAQ, Related Searches, AI Overview"
calculate take home salary uk,260.0,62.0,0.58,0.01,Informational,90.0,"Related Searches, Video"
100k take home pay,260.0,14.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
take home pay on 28000,260.0,10.0,0.0,0.01,Informational,90.0,"Related Searches, AI Overview, Video"
weekly to monthly calculator,260.0,13.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
umbrella salary calculator inside ir35,260.0,22.0,1.05,0.34,Informational,90.0,Related Searches
13 an hour is how much a year uk,210.0,12.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
teachers pay calculator take home,210.0,13.0,0.0,0.0,"Informational, Commercial",90.0,"Video, Related Searches"
tax dividend calculator,210.0,22.0,1.51,0.01,"Informational, Commercial",90.0,"Related Searches, Video"
35k take home,210.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
what is 30000 after tax,210.0,13.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
tax on bonuses uk,210.0,50.0,1.11,0.03,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
income from salary calculator,210.0,66.0,0.0,0.0,Informational,90.0,Related Searches
after tax wage calculator,210.0,66.0,0.61,0.01,Informational,90.0,Related Searches
salary work out,210.0,59.0,0.8,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
tax calculator for a bonus,210.0,28.0,1.3,0.0,"Informational, Commercial",20.0,"Related Searches, Site Links, Video"
salary calculator from take home,210.0,59.0,0.53,0.0,Informational,90.0,Related Searches
calculate after tax bonus,210.0,32.0,0.0,0.0,Informational,20.0,"Video, Related Searches, Site Links"
50000 after tax uk per month,210.0,16.0,0.68,0.01,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches"
50000 a year after tax,210.0,11.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
tax on second job under 16 hours,210.0,12.0,0.0,0.0,"Informational, Commercial",20.0,"AI Overview, Site Links, Video, Related Searches"
income calculator salary,210.0,63.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
salary estimator,210.0,62.0,0.53,0.03,Informational,75.0,"Video, People Also Ask, Related Searches"
paystream umbrella calculator,210.0,14.0,1.58,0.31,"Informational, Transactional",20.0,"Site Links, People Also Ask, Related Searches"
contracting calculator,210.0,17.0,1.11,0.1,Informational,75.0,"Video, Related Searches"
contractor take home pay calculator,210.0,14.0,1.39,0.24,Informational,90.0,"Adwords Bottom, Related Searches"
contractor salary calculator uk,210.0,14.0,1.14,0.11,Navigational,90.0,Related Searches
how do you work out salary,210.0,34.0,1.27,0.04,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
50000 after tax scotland,210.0,17.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
ir35 calculator take home,210.0,16.0,0.85,0.27,Informational,90.0,"Video, Related Searches"
2400 after tax,210.0,21.0,0.62,0.03,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
limited company calculator,210.0,12.0,2.58,0.2,Informational,90.0,"Video, FAQ, Related Searches"
tax calculator dividends,210.0,25.0,1.51,0.01,"Informational, Commercial",90.0,"Related Searches, Video, FAQ"
part time salary,210.0,14.0,0.11,0.03,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
overtime pay taxable,210.0,14.0,0.0,0.0,Informational,20.0,"Video, People Also Ask, FAQ, Related Searches, AI Overview, Image Pack, Site Links"
earnings calc,210.0,58.0,0.0,0.02,Informational,75.0,"Video, Related Searches"
inside ir35 salary calculator,210.0,16.0,0.62,0.19,Informational,90.0,"Video, Related Searches"
salary in hand calculator uk,210.0,62.0,0.58,0.02,Informational,90.0,"Video, Related Searches"
take home monthly salary calculator,210.0,60.0,0.55,0.02,Informational,90.0,Video
corporate income tax calculator,210.0,12.0,3.06,0.19,Informational,90.0,"Video, People Also Ask, Related Searches"
30000 salary take home pay,210.0,12.0,0.56,0.01,Informational,90.0,"AI Overview, People Also Ask, Related Searches"
how are bonuses taxed uk,210.0,47.0,0.0,0.01,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches"
take home pay from 45000,210.0,16.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
tax calculator bonus uk,210.0,36.0,0.96,0.02,Informational,90.0,Related Searches
what is 40k after tax,210.0,16.0,0.0,0.01,Informational,20.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links"
bonus post tax calculator,210.0,47.0,0.0,0.0,Informational,20.0,"Site Links, Related Searches"
salary payment calculator,210.0,72.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
salart,210.0,72.0,2.22,0.0,Informational,70.0,"Knowledge Panel, Video, Video Carousel, People Also Ask, Related Searches, AI Overview"
salary calculator monthly,210.0,50.0,0.72,0.01,Informational,90.0,Related Searches
check my salary,210.0,62.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
tax on bonus payments,210.0,47.0,0.0,0.0,Informational,20.0,"People Also Ask, Related Searches, AI Overview, Site Links, Video"
salary pay calculator,210.0,65.0,0.0,0.01,Informational,90.0,Related Searches
in hand pay calculator,210.0,52.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
contractor rate calculator,170.0,7.0,0.94,0.11,Informational,90.0,"Related Searches, Video"
director salary calculator,170.0,26.0,0.0,0.03,Commercial,90.0,"People Also Ask, Related Searches, Video"
34000 take home pay,170.0,12.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
12.21 x 4,170.0,14.0,0.0,0.0,Informational,20.0,"Instant Answer, Video, People Also Ask, Related Searches"
1257l 0,170.0,14.0,0.0,0.01,Informational,20.0,"Site Links, Video, FAQ, Related Searches, AI Overview"
backpay calculator,170.0,10.0,0.0,0.01,Informational,20.0,"Site Links, Related Searches"
how to figure out hourly wage from salary,170.0,26.0,0.0,0.0,Informational,80.0,"Video, Featured Snippet, People Also Ask, Related Searches"
take home pay 35k,170.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
the salary calc,170.0,78.0,0.78,0.0,Navigational,20.0,"Site Links, Related Searches"
work out my monthly wage,170.0,63.0,0.67,0.03,Informational,90.0,"Video, Related Searches"
ir35 salary calculator,170.0,9.0,1.02,0.19,Informational,90.0,"Video, People Also Ask, Related Searches"
ltd company calculator,170.0,12.0,2.58,0.2,Informational,90.0,"Video, FAQ, Related Searches"
45000 after tax uk per month,170.0,12.0,0.7,0.02,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
bonus calculator salary,170.0,27.0,0.0,0.0,"Informational, Commercial",90.0,Related Searches
yearly gross salary,170.0,35.0,0.0,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, Video"
23000 take home pay,170.0,14.0,0.0,0.01,"Informational, Commercial",90.0,"People Also Ask, Related Searches, AI Overview, Video"
15.50 an hour is how much a year,170.0,18.0,0.0,0.0,Informational,90.0,"AI Overview, People Also Ask, Related Searches"
23 000 after tax,170.0,14.0,0.72,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
take home on 40k,170.0,12.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
60k take home,170.0,9.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
uk bonus calculator,170.0,35.0,1.12,0.01,Informational,90.0,Related Searches
bonus pay tax calculator,170.0,32.0,1.3,0.0,Informational,90.0,Related Searches
compensation comparison calculator,170.0,24.0,2.13,0.05,Commercial,90.0,"Related Searches, People Also Ask"
25000 after tax salary,170.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
taxable bonus calculator,170.0,38.0,1.3,0.0,Informational,20.0,"Related Searches, Site Links, Video"
how is annual income calculated,170.0,32.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
45 000 take home pay,170.0,0.0,0.0,0.33,,0.0,
40000 after tax per month,170.0,16.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay of 60000,170.0,9.0,0.34,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
how do you work out hourly rate from yearly salary,170.0,14.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
outside ir35 take home calculator,170.0,8.0,1.05,0.13,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches"
salary calculator contractor,170.0,12.0,1.52,0.17,Informational,90.0,Related Searches
umbrella salary calculator,170.0,16.0,1.21,0.29,Commercial,90.0,Related Searches
bonus check calculator,170.0,34.0,0.0,0.0,"Informational, Commercial",90.0,Related Searches
working out my pay,170.0,66.0,0.84,0.02,Informational,90.0,"Video, Related Searches, AI Overview"
calculate monthly salary uk,170.0,62.0,0.67,0.04,Informational,90.0,"Video, Related Searches, AI Overview"
tax calculator with bonus,170.0,48.0,1.3,0.0,Informational,90.0,Related Searches
gross salary net salary calculator,170.0,54.0,0.67,0.01,Informational,90.0,Related Searches
yearly to hourly salary,170.0,13.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
4 on 4 off shift pattern pay calculator,170.0,14.0,0.85,0.05,Informational,20.0,"Site Links, People Also Ask, Related Searches, AI Overview"
contract pay calculator,170.0,13.0,1.52,0.17,Informational,90.0,Related Searches
ir35 calculator inside,170.0,9.0,1.09,0.33,Informational,90.0,"Video, Related Searches"
how much do apprentices get paid a month,170.0,14.0,0.0,0.07,Informational,90.0,"People Also Ask, FAQ, Related Searches, Discussions And Forums, AI Overview, Video"
contractor salary,170.0,17.0,0.0,0.03,Informational,75.0,"Discussions And Forums, AI Overview, Video, People Also Ask, Related Searches"
250000 after tax,170.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
50000 a year after taxes,170.0,8.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
calculate take home pay on bonus,170.0,26.0,0.0,0.0,"Informational, Commercial",20.0,"Site Links, Related Searches"
how much bonus will i take home,170.0,28.0,0.0,0.0,Informational,20.0,"Related Searches, Site Links, People Also Ask"
salary income calculator,170.0,67.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
ir35 tax calculator,170.0,22.0,1.05,0.35,Informational,90.0,"Video, Related Searches"
salary calculator and bonus,170.0,44.0,0.0,0.0,Informational,90.0,Related Searches
uk tax on bonus calculator,170.0,44.0,0.96,0.02,Informational,90.0,"People Also Ask, Related Searches"
salary calculator uk take home,170.0,45.0,0.58,0.01,Informational,90.0,"Video, Related Searches"
bonus and tax calculator,170.0,48.0,1.3,0.0,Informational,90.0,"Video, Related Searches"
take home pay meaning,170.0,17.0,0.0,0.0,Informational,70.0,"FAQ, Related Searches, Knowledge Panel, Video"
salary salary calculator,170.0,64.0,0.71,0.0,Informational,90.0,Related Searches
my pay calculator,170.0,67.0,0.0,0.02,Informational,90.0,Related Searches
how to work out my yearly salary,170.0,49.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
salary to monthly calculator,170.0,55.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
take home pay 50000,170.0,14.0,0.61,0.01,Informational,90.0,"AI Overview, Video, Related Searches, Short Videos"
25000 a year is how much a month after taxes,170.0,11.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
contractor wage calculator uk,140.0,12.0,1.14,0.11,Informational,90.0,"People Also Ask, Related Searches, Video"
ir 35 calculator,140.0,18.0,1.0,0.28,Commercial,90.0,"Video, Related Searches"
ir35 take home pay calculator,140.0,11.0,1.22,0.31,Informational,20.0,"Site Links, Video, Related Searches"
contractor wage calculator,140.0,18.0,1.52,0.17,Informational,90.0,"Video, Related Searches"
60000 after tax per month,140.0,12.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
25200 after tax,140.0,14.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
contractors calculator,140.0,16.0,1.11,0.1,Informational,75.0,"Video, Related Searches"
directors tax calculator,140.0,20.0,1.65,0.04,Commercial,90.0,"Video, FAQ, Related Searches"
incorporation tax calculator,140.0,11.0,3.06,0.19,Informational,90.0,"FAQ, Related Searches, Video"
tax on bonus payments uk,140.0,50.0,0.0,0.01,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches"
how do i calculate salary,140.0,55.0,0.0,0.02,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay 75k,140.0,0.0,0.0,0.33,,0.0,
take home pay def,140.0,13.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
workout take home pay,140.0,69.0,0.6,0.01,Informational,90.0,"Video, Related Searches"
take home pay definition,140.0,17.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
annual take home pay calculator,140.0,69.0,0.0,0.02,Informational,90.0,Related Searches
uk tax bonus,140.0,53.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, FAQ, Related Searches, AI Overview"
contract rate calculator,140.0,9.0,0.94,0.11,Informational,90.0,"Video, Related Searches"
inside ir35 umbrella calculator,140.0,8.0,1.06,0.4,Commercial,90.0,"Video, Related Searches"
contractor umbrella calculator,140.0,15.0,1.11,0.57,Informational,90.0,Related Searches
how much tax and ni will i pay on 30000,140.0,22.0,0.0,0.05,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
director tax calculator,140.0,21.0,1.57,0.04,Commercial,90.0,"Video, People Also Ask, Related Searches"
directors salary calculator,140.0,18.0,0.0,0.03,Commercial,90.0,"Video, People Also Ask, Related Searches"
how are bonuses taxed in the uk,140.0,46.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, FAQ, Related Searches, AI Overview"
bonus tax uk,140.0,32.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
salary monthly payment calculator,140.0,61.0,0.0,0.01,Informational,90.0,"Video, Related Searches"
what is take home pay on 40000,140.0,14.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
50k a year after tax uk,140.0,9.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
35k after tax and student loan,140.0,9.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
50k salary take home,140.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Short Videos, AI Overview"
take home pay on 50k,140.0,13.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
how much tax should i pay on my bonus,140.0,49.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
bonus after tax,140.0,48.0,0.0,0.0,Informational,90.0,"Related Searches, Discussions And Forums, Video, People Also Ask"
is bonus pay taxable,140.0,34.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, FAQ, Related Searches, AI Overview"
one-off bonus tax calculator uk,140.0,43.0,0.0,0.02,Informational,20.0,"Site Links, People Also Ask, Related Searches"
uk tax on bonuses calculator,140.0,41.0,0.96,0.02,Informational,90.0,Related Searches
tax on bonus uk calculator,140.0,42.0,0.96,0.02,Informational,20.0,"Site Links, Related Searches"
how much tax do i pay on my bonus,140.0,44.0,0.0,0.01,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
work out bonus after tax,140.0,45.0,0.0,0.01,Informational,90.0,Related Searches
take home pay from 80000,140.0,5.0,0.37,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
disposable income calculator,140.0,44.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
pension salary sacrifice calculator uk,140.0,20.0,1.07,0.08,Informational,90.0,"Related Searches, AI Overview"
40000 after tax monthly,140.0,15.0,0.0,0.0,Informational,20.0,"Video, People Also Ask, Related Searches, AI Overview, Site Links"
60000 salary after taxes,140.0,14.0,0.0,0.01,Informational,20.0,"AI Overview, Site Links, Video, Related Searches"
how much are bonuses taxed,140.0,35.0,0.0,0.0,Informational,20.0,"Site Links, Video, FAQ, Related Searches, AI Overview"
how much tax will i pay on my bonus uk,140.0,48.0,1.06,0.04,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
how do you calculate salary,140.0,51.0,0.0,0.02,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
tax calculator limited company,140.0,16.0,1.68,0.26,Commercial,90.0,"Video, FAQ, Related Searches"
2 jobs tax code,140.0,14.0,0.0,0.0,"Informational, Commercial",20.0,"Site Links, Video, Jobs Search, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
umbrella company pay calculator,140.0,7.0,1.28,0.53,Commercial,90.0,Related Searches
30000 after tax and ni,140.0,12.0,0.0,0.0,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
1 million after tax uk,140.0,26.0,0.0,0.01,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
salary sacrifice calculator take home pay,140.0,27.0,0.0,0.05,Informational,90.0,Related Searches
34k a year after tax,140.0,12.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
26000 after tax per month,140.0,22.0,0.0,0.0,Informational,80.0,"Video, Featured Snippet, People Also Ask, Related Searches"
what is 40 000 after tax,140.0,13.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
40000 take home pay uk,140.0,15.0,0.0,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, People Also Ask"
salary calculator for contractors uk,140.0,6.0,1.14,0.11,Informational,90.0,"Video, Related Searches"
ltd vs sole trader calculator,140.0,6.0,1.56,0.29,Commercial,90.0,"Video, Related Searches"
net worth uk calculator,140.0,28.0,1.1,0.06,Informational,90.0,"AI Overview, Video, Related Searches"
salary calculator for contractors in uk,140.0,15.0,1.14,0.11,"Informational, Navigational",20.0,"Site Links, Video, Related Searches, AI Overview"
ltd tax calculator,140.0,24.0,2.48,0.25,Informational,90.0,"FAQ, Related Searches, Video"
tax calculator with dividends,140.0,5.0,0.0,0.04,Informational,90.0,"Video, Related Searches"
umbrella take home calculator,140.0,5.0,1.12,0.52,Commercial,20.0,"Site Links, Related Searches"
umbrella tax calculator,140.0,13.0,1.17,0.5,Commercial,90.0,Related Searches
take hom pay calculator,140.0,70.0,0.57,0.0,Informational,90.0,"Video, Related Searches"
monthly pay salary calculator,140.0,61.0,0.72,0.01,Informational,90.0,Related Searches
london weighting calculator,140.0,20.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
how much tax would i pay on a second job,140.0,14.0,0.0,0.02,"Informational, Commercial",20.0,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video"
45000 salary after taxes,140.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
take home pay 40000 salary uk,140.0,14.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
tax for working two jobs,140.0,14.0,0.43,0.02,"Informational, Commercial",20.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links"
tax on working two jobs,140.0,14.0,0.43,0.02,"Informational, Commercial",20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
46k take home pay,110.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
teaching part time salary,110.0,9.0,0.0,0.01,Informational,20.0,"Site Links, Video, FAQ, Related Searches, AI Overview"
uk contractor calculator,110.0,28.0,0.83,0.2,Informational,20.0,"Related Searches, Site Links"
